年,月-期底,機構類型名稱,機構名稱,流通卡數-張,有效卡數-張,本月發卡數-張,本月停卡數-張,循環信用餘額-新臺幣百萬元,本月簽帳金額-新臺幣百萬元,本月預借現金金額-新臺幣百萬元,逾期帳款比率-%,備抵呆帳提足率-%,本月轉銷呆帳金額-新臺幣百萬元,循環信用利息收入-新臺幣百萬元,簽帳手續費收入-新臺幣百萬元,預借現金手續費-新臺幣百萬元,收單特約商店家數-家
104,4,本國銀行,渣打國際商業銀行,422147,272852,3784,4498,2207,1537,9,0.47,473.18,12,29,25,0,0
104,4,本國銀行,台中商業銀行,159664,60193,1857,645,212,380,0,1.52,546.25,1,3,6,0,587
104,4,本國銀行,滙豐(台灣)商業銀行,626586,445861,8949,6105,3013,4218,49,0.26,2167.63,9,41,59,1,6
104,4,本國銀行,華泰商業銀行,10344,6770,9,46,19,56,0,0.46,206.6,0,0,1,0,0
104,4,本國銀行,臺灣新光商業銀行#,895126,455002,11287,4933,2186,3485,28,0.18,247.54,5,26,70,0,2102
104,4,本國銀行,陽信商業銀行,68313,38534,1136,578,272,224,0,0.64,915.51,0,3,3,0,49
104,4,本國銀行,三信商業銀行,16750,11326,187,60,32,110,0,0.17,5592.19,0,0,1,0,0
104,4,本國銀行,聯邦商業銀行,1759390,787714,19103,15864,4952,5014,135,0.29,128.4,13,50,78,1,3350
104,4,本國銀行,遠東國際商業銀行,1494199,1014744,12795,6562,5176,4297,222,0.29,100.62,17,83,47,1,32
104,4,本國銀行,元大商業銀行#,343635,173735,12732,1823,433,2003,1,0.19,1081.46,2,4,34,0,87
104,4,本國銀行,永豐商業銀行#,2194349,1312517,20291,14684,4865,7145,118,0.51,465.03,15,73,95,2,4494
104,4,本國銀行,玉山商業銀行#,3766780,2601778,39389,19961,10330,19965,90,0.22,2342.5,36,131,256,2,14715
104,4,本國銀行,凱基商業銀行#,500787,196940,5005,3522,1269,808,11,1.37,180.86,8,18,6,0,3893
104,4,本國銀行,星展(台灣)商業銀行,12598,6327,145,106,17,62,0,0.49,1104.07,0,0,1,0,0
104,4,本國銀行,台新國際商業銀行#,3572233,2419863,32867,17036,10291,14275,159,0.24,627.66,23,101,211,9,75809
104,4,本國銀行,大眾商業銀行,588198,294177,10637,5059,882,1755,78,0.0,500.35,7,21,31,1,503
104,4,本國銀行,日盛國際商業銀行#,191418,106011,545,774,486,399,5,0.32,289.37,3,6,6,0,0
104,4,本國銀行,安泰商業銀行,203429,71189,1123,549,467,410,2,0.57,462.17,0,5,7,0,3053
104,4,本國銀行,中國信託商業銀行#,5831045,3810434,44190,35565,14083,25841,667,0.16,711.09,63,158,350,39,69534
104,4,信用卡公司,台灣樂天信用卡股份有限公司,10129,6429,4447,20,2,39,0,0.0,5243.9,0,0,1,0,0
104,4,信用卡公司,台灣美國運通國際(股)公司,162619,89380,2936,2874,315,3789,0,0.08,546.73,2,3,70,0,81213
104,4,信用卡公司,台灣永旺信用卡(股)公司,102729,55014,485,4072,309,171,3,1.83,720.8,2,5,2,0,370
104,4,信用卡公司,香港商台灣環滙亞太信用卡,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10079
104,4,信用卡公司,財團法人聯合信用卡處理中心,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,93112
